Burn-In Test,Logger Rev-1.0
Operator,ddenoff
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161012_0056
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
12:56:40.413 AM 10/12/2016,0.000000,24.538000,24.524000,23.657000,23.611000,22.842000
12:57:00.417 AM 10/12/2016,0.005557,24.532571,24.531747,23.655075,23.614139,22.827442
12:57:20.422 AM 10/12/2016,0.011114,24.505528,24.498662,23.667640,23.607932,23.211251
12:57:40.425 AM 10/12/2016,0.016670,24.500530,24.491686,23.684983,23.610221,23.446034
12:58:00.431 AM 10/12/2016,0.022227,24.485666,24.489616,23.693385,23.618742,23.643626
12:58:20.414 AM 10/12/2016,0.027778,24.483918,24.468453,23.704107,23.626069,23.913669
12:58:40.420 AM 10/12/2016,0.033335,24.465695,24.446637,23.704195,23.620933,23.903038
12:59:00.428 AM 10/12/2016,0.038893,24.454563,24.423173,23.797912,23.704398,24.004507
12:59:20.431 AM 10/12/2016,0.044449,24.512704,24.474633,26.718927,25.967445,23.883475
12:59:40.431 AM 10/12/2016,0.050005,24.631922,24.622144,30.861960,29.372880,23.724665
1:00:00.434 AM 10/12/2016,0.055561,24.658528,24.765111,29.090895,26.777608,23.695683
1:00:20.434 AM 10/12/2016,0.061117,24.706052,24.916712,28.393385,25.550337,23.614656
1:00:40.434 AM 10/12/2016,0.066672,24.733789,24.987601,27.717343,25.354927,23.640258
1:01:00.430 AM 10/12/2016,0.072227,24.786651,25.110059,27.579158,26.770989,23.916199
1:01:20.440 AM 10/12/2016,0.077785,24.862457,25.227467,28.346567,25.556225,24.094728
1:01:40.440 AM 10/12/2016,0.083341,25.003679,25.399183,32.105509,31.143163,23.849454
1:02:00.432 AM 10/12/2016,0.088894,25.309099,25.698064,39.728983,37.467590,23.549496
1:02:20.433 AM 10/12/2016,0.094450,25.598087,26.039334,42.985113,40.200394,23.335566
1:02:40.435 AM 10/12/2016,0.100006,25.872562,26.388209,44.630356,41.313274,23.366253
1:03:00.433 AM 10/12/2016,0.105561,26.071973,26.646025,41.634497,39.208106,23.550221
1:03:20.419 AM 10/12/2016,0.111113,26.249403,26.869801,39.750046,37.921651,23.611777
1:03:40.433 AM 10/12/2016,0.116672,26.398185,27.077969,38.650288,37.142495,23.425111
1:04:00.431 AM 10/12/2016,0.122227,26.542970,27.250449,37.772692,36.583691,23.265614
1:04:20.432 AM 10/12/2016,0.127783,26.696330,27.415674,36.924424,35.983944,23.189593
1:04:40.433 AM 10/12/2016,0.133339,26.831522,27.571896,35.856376,35.184971,23.530065
1:05:00.433 AM 10/12/2016,0.138894,26.954057,27.710185,34.705896,34.308519,23.478061
1:05:20.433 AM 10/12/2016,0.144450,26.998305,27.745030,33.192082,33.160357,23.445592
1:05:40.432 AM 10/12/2016,0.150005,27.111091,27.823716,31.215305,31.716227,23.394178
1:06:00.436 AM 10/12/2016,0.155562,27.147770,27.827818,29.200558,30.153366,23.372630
1:06:20.432 AM 10/12/2016,0.161116,27.143180,27.774547,27.341315,28.801661,23.563291
1:06:40.433 AM 10/12/2016,0.166672,27.118405,27.689908,25.710016,27.578380,23.610825
1:07:00.421 AM 10/12/2016,0.172224,27.041297,27.564358,24.144965,26.218098,23.668970
1:07:20.433 AM 10/12/2016,0.177783,26.966675,27.420235,22.744719,25.058030,23.474878
1:07:40.437 AM 10/12/2016,0.183340,26.851648,27.220240,21.212406,23.730196,23.324709
1:08:00.432 AM 10/12/2016,0.188894,26.741615,27.025093,20.270793,23.099751,23.321287
1:08:20.432 AM 10/12/2016,0.194450,26.705414,26.955004,23.186495,24.682424,23.375627
1:08:40.434 AM 10/12/2016,0.200006,26.661825,26.864703,23.577169,24.597588,23.387813
1:09:00.417 AM 10/12/2016,0.205557,26.522325,26.672709,20.308699,22.531249,23.561803
1:09:20.426 AM 10/12/2016,0.211115,26.371663,26.464893,18.297898,20.973075,23.501285
1:09:40.434 AM 10/12/2016,0.216672,26.216279,26.262783,17.107967,19.930624,23.590220
1:10:00.430 AM 10/12/2016,0.222227,26.041705,26.017335,15.798151,18.878206,23.706530
1:10:20.432 AM 10/12/2016,0.227783,25.858042,25.758245,14.719885,17.687092,23.744778
1:10:40.432 AM 10/12/2016,0.233339,25.664566,25.472545,13.853669,16.854673,23.642486
1:11:00.436 AM 10/12/2016,0.238895,25.455618,25.185656,12.092569,15.499961,23.631030
1:11:20.433 AM 10/12/2016,0.244450,25.196272,24.897473,10.592711,14.334765,23.589654
1:11:40.434 AM 10/12/2016,0.250006,24.952124,24.542441,8.965317,12.710991,23.620054
1:12:00.432 AM 10/12/2016,0.255561,24.676464,24.181987,7.475304,11.600217,23.680265
1:12:20.434 AM 10/12/2016,0.261117,24.391564,23.830822,6.100571,10.380642,23.399932
1:12:40.422 AM 10/12/2016,0.266669,24.088600,23.419688,4.552240,8.960008,23.496521
1:13:00.432 AM 10/12/2016,0.272228,23.756916,23.038056,3.244525,7.699376,23.484258
1:13:20.432 AM 10/12/2016,0.277783,23.432355,22.628033,1.989255,6.605704,23.656408
1:13:40.434 AM 10/12/2016,0.283339,23.066959,22.140609,0.876501,5.694612,23.616775
1:14:00.435 AM 10/12/2016,0.288895,22.704273,21.720923,-0.300573,4.211516,23.534650
1:14:20.433 AM 10/12/2016,0.294450,22.337666,21.288331,-1.305240,3.035925,23.464685
1:14:40.433 AM 10/12/2016,0.300005,21.943431,20.852044,-2.622549,2.214089,23.290253
1:15:00.434 AM 10/12/2016,0.305561,21.554734,20.386756,-3.721776,1.069308,23.326947
1:15:20.433 AM 10/12/2016,0.311117,21.151976,19.843043,-5.105633,-0.097291,23.485437
1:15:40.419 AM 10/12/2016,0.316668,20.719793,19.383454,-6.272818,-1.177012,23.516250
1:16:00.431 AM 10/12/2016,0.322227,20.362443,18.987852,-4.730299,-0.726136,23.497498
1:16:20.434 AM 10/12/2016,0.327783,20.221472,18.840564,3.028444,5.278197,23.660477
1:16:40.434 AM 10/12/2016,0.333339,20.135006,18.769843,8.984720,9.737325,23.757817
1:17:00.433 AM 10/12/2016,0.338894,20.129677,18.806082,12.869690,12.982154,23.681224
1:17:20.434 AM 10/12/2016,0.344450,20.129656,18.855653,16.339763,15.981366,23.741059
1:17:40.433 AM 10/12/2016,0.350006,20.202447,18.977244,19.219178,18.412339,23.784811
1:18:00.419 AM 10/12/2016,0.355557,20.235784,19.103817,20.240838,18.981605,23.768109
1:18:20.429 AM 10/12/2016,0.361116,20.209604,19.152187,17.587244,17.057468,23.639555
1:18:40.416 AM 10/12/2016,0.366667,20.152529,19.119691,14.573662,14.896182,23.483096
1:19:00.420 AM 10/12/2016,0.372224,20.004337,18.980274,10.685708,12.249952,23.423799
1:19:20.435 AM 10/12/2016,0.377784,19.831410,18.753433,7.249365,9.678509,23.556331
1:19:40.433 AM 10/12/2016,0.383339,19.629223,18.515123,4.371697,7.503066,23.514652
1:20:00.421 AM 10/12/2016,0.388891,19.391982,18.192390,1.959541,5.828128,23.663085
1:20:20.433 AM 10/12/2016,0.394450,19.098556,17.879228,0.048427,3.877950,23.816084
1:20:40.434 AM 10/12/2016,0.400006,18.852845,17.525020,-1.784955,2.413048,23.467786
1:21:00.434 AM 10/12/2016,0.405561,18.501535,17.176329,-3.688319,0.820256,23.536903
1:21:20.420 AM 10/12/2016,0.411113,18.162115,16.749941,-5.296829,-0.729352,23.293594
1:21:40.434 AM 10/12/2016,0.416672,17.801753,16.329974,-6.876853,-1.714012,23.173385
1:22:00.433 AM 10/12/2016,0.422228,17.433210,15.906404,-8.323107,-3.255242,23.236125
1:22:20.433 AM 10/12/2016,0.427783,17.089810,15.459769,-9.646382,-4.508824,23.436298
1:22:40.433 AM 10/12/2016,0.433339,16.655826,14.999468,-10.939763,-5.775538,23.346929
1:23:00.446 AM 10/12/2016,0.438898,16.249100,14.483310,-12.303880,-7.275182,23.319288
1:23:20.431 AM 10/12/2016,0.444449,15.805334,13.981662,-13.471803,-8.417630,23.304435
1:23:40.419 AM 10/12/2016,0.450002,15.407041,13.538827,-14.530213,-9.432759,23.216896
1:24:00.422 AM 10/12/2016,0.455558,14.928355,13.044140,-15.800762,-10.334765,23.177969
1:24:20.433 AM 10/12/2016,0.461117,14.495769,12.464596,-16.897204,-11.816917,23.276649
1:24:40.433 AM 10/12/2016,0.466672,14.089885,11.992031,-17.971802,-12.583831,23.310149
1:25:00.433 AM 10/12/2016,0.472228,13.532458,11.420359,-19.141414,-13.958245,23.439431
1:25:20.434 AM 10/12/2016,0.477783,13.062629,10.857276,-20.219239,-14.877341,23.378257
1:25:40.434 AM 10/12/2016,0.483339,12.596800,10.342433,-21.363211,-15.756969,23.191056
1:26:00.420 AM 10/12/2016,0.488891,12.063172,9.683350,-22.572193,-16.983735,23.170558
1:26:20.434 AM 10/12/2016,0.494450,11.533353,9.140527,-23.508840,-17.904196,23.162680
1:26:40.416 AM 10/12/2016,0.500001,11.074163,8.546316,-24.588382,-19.027296,23.257024
1:27:00.434 AM 10/12/2016,0.505561,10.496166,7.961800,-25.658328,-20.040676,23.467490
1:27:20.432 AM 10/12/2016,0.511116,9.963257,7.336838,-26.546714,-21.210737,23.357083
1:27:40.417 AM 10/12/2016,0.516668,9.437143,6.755332,-27.534007,-21.980990,23.286236
1:28:00.433 AM 10/12/2016,0.522228,8.847818,6.152100,-28.586544,-22.711790,23.275360
1:28:20.433 AM 10/12/2016,0.527783,8.309824,5.539643,-29.662856,-24.043865,23.364164
1:28:40.433 AM 10/12/2016,0.533339,7.731859,4.946864,-30.638155,-25.154846,23.200079
1:29:00.433 AM 10/12/2016,0.538894,7.143896,4.293520,-31.624054,-25.625655,23.067349
1:29:20.433 AM 10/12/2016,0.544450,6.598093,3.618273,-32.566424,-27.069610,23.202532
1:29:40.429 AM 10/12/2016,0.550005,6.004420,3.021703,-33.547817,-27.979081,23.238772
1:30:00.434 AM 10/12/2016,0.555561,5.394200,2.358340,-34.403547,-28.640466,23.366506
1:30:20.434 AM 10/12/2016,0.561117,4.835247,1.755465,-35.318153,-29.907831,23.427434
1:30:40.433 AM 10/12/2016,0.566672,4.256482,1.191252,-36.429079,-30.804516,23.446278
1:31:00.433 AM 10/12/2016,0.572228,3.626680,0.542061,-37.328052,-31.567093,23.369721
1:31:20.435 AM 10/12/2016,0.577784,3.024765,-0.080117,-38.215891,-32.176218,23.232238
1:31:40.433 AM 10/12/2016,0.583339,2.404719,-0.815272,-39.202498,-33.218129,23.122475
1:32:00.439 AM 10/12/2016,0.588896,1.763502,-1.462349,-40.023826,-34.297542,23.223268
1:32:20.443 AM 10/12/2016,0.594453,1.123154,-2.163366,-40.926194,-35.523956,23.211165
1:32:40.441 AM 10/12/2016,0.600008,0.529969,-2.752315,-41.793984,-36.036068,23.219678
1:33:00.431 AM 10/12/2016,0.605560,-0.088198,-3.420768,-42.630956,-37.076138,23.309473
1:33:20.433 AM 10/12/2016,0.611117,-0.734536,-4.093944,-43.366445,-37.559402,23.325251
1:33:40.433 AM 10/12/2016,0.616672,-1.341334,-4.793075,-44.288571,-38.923175,23.210704
1:34:00.434 AM 10/12/2016,0.622228,-2.001162,-5.367010,-45.156978,-39.591481,23.188692
1:34:20.439 AM 10/12/2016,0.627785,-2.597438,-6.025872,-46.009379,-40.537452,23.248335
1:34:40.440 AM 10/12/2016,0.633341,-3.271550,-6.682694,-46.747470,-41.114471,23.219881
1:35:00.441 AM 10/12/2016,0.638897,-3.893468,-7.440576,-47.503550,-41.672583,23.191322
1:35:20.435 AM 10/12/2016,0.644450,-4.552585,-8.146541,-48.378289,-43.217015,23.218320
1:35:40.419 AM 10/12/2016,0.650002,-5.197697,-8.707033,-47.767505,-43.075079,23.227229
1:36:00.431 AM 10/12/2016,0.655561,-5.665440,-9.211500,-45.238690,-41.629616,23.335476
1:36:20.431 AM 10/12/2016,0.661116,-6.280462,-9.860501,-46.907717,-42.564325,23.422708
1:36:40.432 AM 10/12/2016,0.666672,-6.859391,-10.535594,-48.864818,-44.054360,23.487759
1:37:00.433 AM 10/12/2016,0.672228,-7.435284,-11.083194,-48.073773,-44.135816,23.523264
1:37:20.434 AM 10/12/2016,0.677783,-7.898222,-11.592251,-45.826735,-42.680760,23.437111
1:37:40.434 AM 10/12/2016,0.683339,-8.492447,-12.219093,-48.072452,-44.213946,23.470214
1:38:00.432 AM 10/12/2016,0.688894,-9.087557,-12.776062,-49.599938,-45.099963,23.509577
1:38:20.432 AM 10/12/2016,0.694450,-9.576014,-13.189622,-46.718040,-43.826199,23.610496
1:38:40.432 AM 10/12/2016,0.700005,-10.080024,-13.739898,-47.659540,-44.376584,23.554338
1:39:00.433 AM 10/12/2016,0.705561,-10.619650,-14.394069,-49.914625,-46.157549,23.443426
1:39:20.430 AM 10/12/2016,0.711116,-11.118841,-14.784117,-47.868434,-44.887865,23.475766
1:39:40.430 AM 10/12/2016,0.716671,-11.572558,-15.224950,-47.154011,-44.723553,23.438799
1:40:00.437 AM 10/12/2016,0.722229,-12.135817,-15.849210,-50.043451,-46.718926,23.374190
1:40:20.431 AM 10/12/2016,0.727783,-12.590224,-16.301242,-48.161565,-45.660003,23.325448
1:40:40.432 AM 10/12/2016,0.733339,-13.065513,-16.768747,-47.424858,-45.412574,23.258872
1:41:00.417 AM 10/12/2016,0.738890,-13.595576,-17.361592,-50.507835,-47.402023,23.256736
1:41:20.419 AM 10/12/2016,0.744446,-14.049229,-17.739721,-48.499210,-46.023901,23.190652
1:41:40.434 AM 10/12/2016,0.750006,-14.476427,-18.163886,-47.804489,-45.770889,23.259617
1:42:00.440 AM 10/12/2016,0.755563,-14.994891,-18.693351,-50.821729,-47.766813,23.196256
1:42:20.441 AM 10/12/2016,0.761119,-15.393066,-19.086047,-48.868379,-46.633715,23.251874
1:42:40.420 AM 10/12/2016,0.766669,-15.769317,-19.454819,-47.407106,-45.825793,23.312597
1:43:00.423 AM 10/12/2016,0.772225,-16.287917,-19.965552,-50.495860,-48.074118,23.212756
