Thermal Cycle Test,Logger Rev-1.0
Operator,11333
11333
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161013_1240
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
12:40:40.412 PM 10/13/2016,0.000000,23.286000,22.574000,8.142000,11.038000,23.929000
12:41:00.413 PM 10/13/2016,0.005556,23.138482,22.350930,7.209576,10.139061,24.076461
12:41:20.413 PM 10/13/2016,0.011111,22.902928,22.008686,5.952783,8.935248,24.271535
12:41:40.414 PM 10/13/2016,0.016667,22.651766,21.732094,4.839615,7.899771,24.377890
12:42:00.412 PM 10/13/2016,0.022222,22.414221,21.391687,3.841581,6.927783,24.556821
12:42:20.412 PM 10/13/2016,0.027778,22.172076,21.035808,3.068133,5.933204,24.412266
12:42:40.414 PM 10/13/2016,0.033334,21.905568,20.670638,1.905050,5.135408,24.456791
12:43:00.413 PM 10/13/2016,0.038889,21.664011,20.355103,1.381844,4.227196,24.359147
12:43:20.413 PM 10/13/2016,0.044445,21.490528,20.244267,8.105697,7.659423,24.147146
12:43:40.412 PM 10/13/2016,0.050000,21.505234,20.361895,15.024333,12.227046,24.240993
12:44:00.414 PM 10/13/2016,0.055556,21.553817,20.477677,19.515354,15.075153,24.215920
12:44:20.411 PM 10/13/2016,0.061111,21.615608,20.651800,22.920153,17.702044,24.228675
12:44:40.414 PM 10/13/2016,0.066667,21.710708,20.841388,25.974623,20.131617,24.180651
12:45:00.413 PM 10/13/2016,0.072222,21.783199,21.084644,28.362069,21.970779,23.920452
12:45:20.413 PM 10/13/2016,0.077778,21.922527,21.310034,30.486875,24.051319,23.739301
12:45:40.412 PM 10/13/2016,0.083333,22.043972,21.626182,33.193088,25.865034,23.691507
12:46:00.412 PM 10/13/2016,0.088889,22.256562,21.944211,35.263703,27.769238,23.781738
12:46:20.414 PM 10/13/2016,0.094445,22.438491,22.268553,37.497600,29.917313,23.803694
12:46:40.413 PM 10/13/2016,0.100000,22.655525,22.640235,39.484753,31.574477,23.737047
12:47:00.414 PM 10/13/2016,0.105556,22.884386,23.039889,41.340635,33.444529,23.574732
12:47:20.418 PM 10/13/2016,0.111113,23.121869,23.409861,43.087000,35.388791,23.579625
12:47:40.415 PM 10/13/2016,0.116668,23.395429,23.803908,44.806490,36.937566,23.629296
12:48:00.413 PM 10/13/2016,0.122223,23.678950,24.229556,46.222531,38.527312,23.712048
12:48:20.412 PM 10/13/2016,0.127778,23.966692,24.683334,47.742994,40.260509,23.680297
12:48:40.414 PM 10/13/2016,0.133334,24.332527,25.120337,49.415656,41.717480,23.510275
12:49:00.412 PM 10/13/2016,0.138889,24.617081,25.572663,50.884297,43.230284,23.467421
12:49:20.413 PM 10/13/2016,0.144445,24.954048,26.038150,52.373035,44.715646,23.571132
12:49:40.412 PM 10/13/2016,0.150000,25.260524,26.553644,53.920218,46.425569,23.648941
12:50:00.412 PM 10/13/2016,0.155556,25.656489,26.972628,53.375791,46.894690,23.710309
12:50:20.412 PM 10/13/2016,0.161111,25.905497,27.256200,48.956164,44.764085,23.570635
12:50:40.412 PM 10/13/2016,0.166667,26.108283,27.520072,46.578612,43.570434,23.448039
12:51:00.411 PM 10/13/2016,0.172222,26.352750,27.751530,44.998681,42.765982,23.487231
12:51:20.413 PM 10/13/2016,0.177778,26.597462,27.975111,43.826217,42.083728,23.573310
12:51:40.414 PM 10/13/2016,0.183334,26.763562,28.202465,42.899270,41.661526,23.677773
12:52:00.418 PM 10/13/2016,0.188891,26.960798,28.373780,42.056415,41.184148,23.773370
12:52:20.413 PM 10/13/2016,0.194445,27.147931,28.569374,41.385724,40.840621,23.833081
12:52:40.413 PM 10/13/2016,0.200000,27.300859,28.740490,40.776753,40.471390,23.946124
12:53:00.413 PM 10/13/2016,0.205556,27.476801,28.896229,40.309301,40.157584,23.972158
12:53:20.412 PM 10/13/2016,0.211111,27.621513,29.048660,39.828096,39.854452,23.979670
12:53:40.412 PM 10/13/2016,0.216667,27.780892,29.187846,39.464940,39.589047,23.957820
12:54:00.413 PM 10/13/2016,0.222222,27.936887,29.296855,39.084032,39.340841,23.704579
12:54:20.413 PM 10/13/2016,0.227778,28.066194,29.428583,38.779076,39.111119,23.532031
12:54:40.415 PM 10/13/2016,0.233334,28.222744,29.510551,38.494775,38.838833,23.607481
12:55:00.413 PM 10/13/2016,0.238889,28.368611,29.638453,38.249066,38.608121,23.634483
12:55:20.412 PM 10/13/2016,0.244445,28.531676,29.749866,38.007336,38.433321,23.696398
12:55:40.412 PM 10/13/2016,0.250000,28.640611,29.868705,37.818119,38.261384,23.622628
12:56:00.412 PM 10/13/2016,0.255556,28.771948,29.949656,37.599737,38.060053,23.424789
12:56:20.415 PM 10/13/2016,0.261112,28.875683,30.059225,37.400227,37.855142,23.412812
12:56:40.413 PM 10/13/2016,0.266667,28.977565,30.144988,37.224863,37.712103,23.385842
12:57:00.413 PM 10/13/2016,0.272223,29.103427,30.253585,37.055509,37.557798,23.553430
12:57:20.413 PM 10/13/2016,0.277778,29.211577,30.329273,36.941632,37.367200,23.687809
12:57:40.412 PM 10/13/2016,0.283333,29.332436,30.410593,36.783759,37.238087,23.688950
12:58:00.412 PM 10/13/2016,0.288889,29.425592,30.497322,36.662952,37.101005,23.746181
12:58:20.414 PM 10/13/2016,0.294445,29.534225,30.586547,36.528220,36.977367,23.784270
12:58:40.414 PM 10/13/2016,0.300000,29.642572,30.655446,36.437497,36.873497,23.869317
12:59:00.414 PM 10/13/2016,0.305556,29.724056,30.712717,36.303347,36.713432,23.916994
12:59:20.414 PM 10/13/2016,0.311112,29.838721,30.812703,36.225004,36.610430,23.859160
12:59:40.414 PM 10/13/2016,0.316667,29.943374,30.889461,36.108087,36.485129,23.839103
1:00:00.414 PM 10/13/2016,0.322223,30.026683,30.959817,36.012573,36.353589,23.861371
1:00:20.413 PM 10/13/2016,0.327778,30.116901,31.026384,35.933482,36.272149,23.878232
1:00:40.413 PM 10/13/2016,0.333334,30.185143,31.087320,35.823985,36.159847,23.783955
1:01:00.413 PM 10/13/2016,0.338889,30.290877,31.147402,35.737580,36.073836,23.606864
1:01:20.413 PM 10/13/2016,0.344445,30.367216,31.218549,35.669748,35.956290,23.648161
1:01:40.414 PM 10/13/2016,0.350001,30.444305,31.266048,35.087979,35.636457,23.871775
1:02:00.412 PM 10/13/2016,0.355556,30.476773,31.265377,32.466950,34.030589,24.085714
1:02:20.414 PM 10/13/2016,0.361112,30.462133,31.199806,29.438372,31.876140,23.917978
1:02:40.412 PM 10/13/2016,0.366667,30.436568,31.079193,27.325045,30.322176,23.818145
1:03:00.413 PM 10/13/2016,0.372222,30.410536,30.978474,26.662764,29.443936,23.900362
1:03:20.413 PM 10/13/2016,0.377778,30.452907,30.972780,28.974760,30.615237,24.049884
1:03:40.414 PM 10/13/2016,0.383334,30.439846,30.935713,28.346328,30.208086,23.851239
1:04:00.412 PM 10/13/2016,0.388889,30.379406,30.794791,25.336260,28.167436,23.773256
1:04:20.412 PM 10/13/2016,0.394445,30.284302,30.611774,22.977911,26.323658,23.895373
1:04:40.414 PM 10/13/2016,0.400001,30.191944,30.388477,21.228191,24.930470,24.134971
1:05:00.413 PM 10/13/2016,0.405556,30.037079,30.170995,19.050691,23.176222,24.097727
1:05:20.412 PM 10/13/2016,0.411111,29.853968,29.865590,16.644402,21.206518,24.172263
1:05:40.412 PM 10/13/2016,0.416667,29.684468,29.565649,14.539925,19.467818,24.269471
1:06:00.414 PM 10/13/2016,0.422223,29.474161,29.189004,10.751022,16.435735,24.304887
1:06:20.414 PM 10/13/2016,0.427778,29.174700,28.799432,8.164108,14.168372,24.502709
1:06:40.414 PM 10/13/2016,0.433334,28.889258,28.401974,6.214080,12.254427,24.468049
1:07:00.414 PM 10/13/2016,0.438890,28.622837,27.981539,4.175596,10.187309,24.238470
1:07:20.412 PM 10/13/2016,0.444445,28.199588,27.521975,1.898649,8.235976,24.102330
1:07:40.413 PM 10/13/2016,0.450000,27.874617,27.001915,0.079373,6.215771,24.243085
1:08:00.413 PM 10/13/2016,0.455556,27.526913,26.552305,-1.621722,4.297967,24.428681
1:08:20.413 PM 10/13/2016,0.461111,27.128972,25.986865,-3.503065,2.112156,24.490653
1:08:40.413 PM 10/13/2016,0.466667,26.719266,25.411448,-5.195501,0.074130,24.444143
1:09:00.413 PM 10/13/2016,0.472223,26.241724,24.852887,-6.981688,-2.011438,24.047432
1:09:20.412 PM 10/13/2016,0.477778,25.876329,24.251048,-8.997301,-4.134872,24.143160
1:09:40.412 PM 10/13/2016,0.483333,25.330344,23.668896,-10.872142,-5.878587,24.448553
1:10:00.413 PM 10/13/2016,0.488889,24.868609,23.032119,-12.432632,-7.820652,24.513443
1:10:20.413 PM 10/13/2016,0.494445,24.354540,22.332360,-13.819336,-9.590213,24.583480
1:10:40.413 PM 10/13/2016,0.500000,23.839022,21.637531,-15.613474,-11.407554,24.659159
1:11:00.413 PM 10/13/2016,0.505556,23.291609,20.984401,-16.534233,-12.883513,24.620023
1:11:20.413 PM 10/13/2016,0.511111,22.754726,20.320017,-17.748368,-14.147708,24.480009
1:11:40.413 PM 10/13/2016,0.516667,22.321822,19.839760,-13.856841,-11.908601,24.393720
1:12:00.413 PM 10/13/2016,0.522223,21.922592,19.419519,-11.539460,-10.682715,24.579066
1:12:20.412 PM 10/13/2016,0.527778,21.544673,18.871285,-12.628156,-11.467754,24.689152
1:12:40.414 PM 10/13/2016,0.533334,21.064195,18.352847,-13.481679,-12.055072,24.717895
1:13:00.414 PM 10/13/2016,0.538889,20.723661,17.999514,-9.094849,-9.902259,24.738690
1:13:20.414 PM 10/13/2016,0.544445,20.608254,17.967530,0.295954,-3.947175,24.572235
1:13:40.414 PM 10/13/2016,0.550001,20.487867,18.025382,5.754516,-0.217438,24.329083
1:14:00.414 PM 10/13/2016,0.555556,20.413957,18.091907,9.889295,3.075342,24.270692
1:14:20.412 PM 10/13/2016,0.561111,20.402575,18.212886,13.124088,6.037948,24.357752
1:14:40.413 PM 10/13/2016,0.566667,20.392204,18.373533,16.335917,8.356317,24.422880
1:15:00.413 PM 10/13/2016,0.572222,20.455173,18.572564,19.239321,10.933843,24.483352
1:15:20.413 PM 10/13/2016,0.577778,20.533489,18.810162,21.785946,13.273334,24.395011
1:15:40.414 PM 10/13/2016,0.583334,20.621270,19.056057,22.801914,14.975957,24.338619
1:16:00.414 PM 10/13/2016,0.588890,20.631423,19.131409,19.229454,13.352452,24.456907
1:16:20.412 PM 10/13/2016,0.594445,20.566974,19.134442,15.488160,11.788191,24.551366
1:16:40.413 PM 10/13/2016,0.600000,20.354403,18.934322,8.535156,7.549816,24.658976
1:17:00.414 PM 10/13/2016,0.605556,20.151412,18.651456,2.771145,3.951666,24.725633
1:17:20.418 PM 10/13/2016,0.611113,19.857707,18.257935,-2.488539,0.263623,24.672211
1:17:40.427 PM 10/13/2016,0.616671,19.531021,17.838090,-5.809038,-2.312107,24.551242
1:18:00.412 PM 10/13/2016,0.622222,19.156903,17.415641,-8.571665,-4.779644,24.130392
1:18:20.414 PM 10/13/2016,0.627778,18.748124,16.878136,-11.359054,-7.145008,24.147146
1:18:40.414 PM 10/13/2016,0.633334,18.346421,16.427653,-12.945454,-8.961301,24.391089
1:19:00.412 PM 10/13/2016,0.638889,17.989841,15.895628,-14.697544,-10.572349,24.540373
1:19:20.414 PM 10/13/2016,0.644445,17.531841,15.376534,-16.995696,-12.604847,24.578578
1:19:40.414 PM 10/13/2016,0.650001,17.033334,14.765156,-19.588295,-14.956972,24.575144
1:20:00.414 PM 10/13/2016,0.655556,16.509765,14.091526,-22.005441,-17.784074,24.614248
1:20:20.414 PM 10/13/2016,0.661112,15.919152,13.447065,-24.203704,-19.954279,24.686165
1:20:40.415 PM 10/13/2016,0.666668,15.390462,12.721347,-26.211693,-22.242796,24.756771
1:21:00.413 PM 10/13/2016,0.672223,14.831743,11.999847,-27.975863,-24.400720,24.650002
1:21:20.413 PM 10/13/2016,0.677778,14.154953,11.306550,-29.627892,-26.498612,24.586861
1:21:40.414 PM 10/13/2016,0.683334,13.581605,10.527540,-31.828864,-28.562668,24.655752
1:22:00.413 PM 10/13/2016,0.688889,12.929521,9.763444,-33.339149,-30.477654,24.457389
1:22:20.413 PM 10/13/2016,0.694445,12.220620,9.026811,-35.216505,-32.511828,24.256092
1:22:40.413 PM 10/13/2016,0.700000,11.605193,8.077450,-36.835610,-34.172700,24.513690
1:23:00.413 PM 10/13/2016,0.705556,10.867149,7.322586,-38.692337,-36.064144,24.689456
1:23:20.413 PM 10/13/2016,0.711112,10.208425,6.618925,-39.844949,-37.742607,24.593362
1:23:40.413 PM 10/13/2016,0.716667,9.460804,5.734488,-41.381445,-39.597902,24.635326
1:24:00.413 PM 10/13/2016,0.722222,8.708048,4.976990,-42.662520,-41.103258,24.342444
1:24:20.413 PM 10/13/2016,0.727778,8.083641,4.052011,-43.994604,-42.728575,24.287483
1:24:40.413 PM 10/13/2016,0.733334,7.267511,3.200975,-45.217113,-44.173300,24.369654
1:25:00.413 PM 10/13/2016,0.738889,6.560227,2.338804,-46.561358,-45.820339,24.436337
1:25:20.414 PM 10/13/2016,0.744445,5.815185,1.504688,-48.037662,-47.355130,24.475378
1:25:40.414 PM 10/13/2016,0.750001,5.230802,0.833093,-44.462731,-45.267546,24.467440
