Thermal Cycle Test,Logger Rev-1.0
Operator,D. Gaines
Unit,OCU
Product Number,1F67700-1
Serial Number,0034
Date,20161005_2133
Position,1
Units in Chamber,*0034
*Thermocouples are placed on this unit
Comments,

Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
9:33:58.406 PM 10/5/2016,0.000000,21.655000,21.910000,22.006000,21.796000,21.107000
9:34:18.399 PM 10/5/2016,0.005554,21.737795,21.978986,21.984861,21.855246,21.175208
9:34:38.401 PM 10/5/2016,0.011110,21.715804,21.949278,21.900348,21.715739,21.010865
9:34:58.398 PM 10/5/2016,0.016665,21.752393,21.961444,21.902011,21.725565,20.978765
9:35:18.399 PM 10/5/2016,0.022220,21.736818,21.944951,21.879896,21.669608,20.860780
9:35:38.401 PM 10/5/2016,0.027776,21.752523,21.937924,21.907909,21.707166,20.876378
9:35:58.401 PM 10/5/2016,0.033332,21.757874,21.936419,21.879366,21.724711,20.707808
9:36:18.400 PM 10/5/2016,0.038887,21.724886,21.890488,21.746894,21.567850,20.954489
9:36:38.401 PM 10/5/2016,0.044443,21.812947,21.962670,21.800652,21.552099,20.778107
9:36:58.400 PM 10/5/2016,0.049998,21.770874,21.912212,21.743506,21.515182,20.797971
9:37:18.400 PM 10/5/2016,0.055554,21.699006,21.862301,21.623483,21.331976,20.768724
9:37:38.399 PM 10/5/2016,0.061109,21.797818,21.924619,21.713190,21.463121,20.728678
9:37:58.399 PM 10/5/2016,0.066665,21.786207,21.902944,21.700611,21.466608,20.650680
9:38:18.401 PM 10/5/2016,0.072221,21.714159,21.827053,21.547798,21.281964,20.624193
9:38:38.400 PM 10/5/2016,0.077776,21.735364,21.857707,21.491172,21.245197,20.665539
9:38:58.400 PM 10/5/2016,0.083332,21.769133,21.870976,21.517371,21.220799,20.700001
9:39:18.400 PM 10/5/2016,0.088887,21.766503,21.845891,21.458977,21.153080,20.658322
9:39:38.399 PM 10/5/2016,0.094443,21.729110,21.033631,21.350318,21.015463,20.489307
9:39:58.400 PM 10/5/2016,0.099998,21.761902,21.809003,21.427000,21.069065,20.356878
9:40:18.400 PM 10/5/2016,0.105554,21.757956,21.820222,21.502086,21.111486,20.148456
9:40:38.401 PM 10/5/2016,0.111110,21.747333,21.794906,21.401260,21.085880,20.313136
9:40:58.401 PM 10/5/2016,0.116665,21.735489,21.792838,21.396154,21.042279,20.281655
9:41:18.402 PM 10/5/2016,0.122221,21.712011,21.762021,21.512068,21.180463,20.388863
9:41:38.399 PM 10/5/2016,0.127776,21.687635,21.739709,21.449419,21.148116,20.503524
9:41:58.400 PM 10/5/2016,0.133332,21.750923,21.800655,21.693787,21.441297,20.641009
9:42:18.400 PM 10/5/2016,0.138887,21.762897,21.812530,21.763071,21.545384,20.928136
9:42:38.402 PM 10/5/2016,0.144443,21.749687,21.820015,21.825344,21.670083,21.342728
9:42:58.400 PM 10/5/2016,0.149998,21.722517,21.805783,21.932274,21.813757,21.643463
9:43:18.401 PM 10/5/2016,0.155554,21.678117,21.754874,22.025180,22.025851,21.870100
9:43:38.401 PM 10/5/2016,0.161110,21.661645,21.757435,22.071925,22.104068,21.986849
9:43:58.400 PM 10/5/2016,0.166665,21.657412,21.756661,22.277976,22.297475,22.049401
9:44:18.399 PM 10/5/2016,0.172220,21.649647,21.738905,22.281091,22.383143,22.053580
9:44:38.399 PM 10/5/2016,0.177776,21.597724,21.704807,22.312231,22.481144,22.285704
9:44:58.401 PM 10/5/2016,0.183332,21.588599,21.699081,22.297347,22.421877,22.331688
9:45:18.401 PM 10/5/2016,0.188887,21.592772,21.696933,22.258153,22.392021,22.481910
9:45:38.402 PM 10/5/2016,0.194443,21.689138,21.800856,22.374087,22.537897,22.482156
9:45:58.400 PM 10/5/2016,0.199998,21.648708,21.754532,22.533674,22.730559,22.651881
9:46:18.401 PM 10/5/2016,0.205554,21.634837,21.749276,22.622331,22.907682,22.655515
