Thermal Cycle Test,Logger Rev-1.0,,,,,
Operator,d gaines,,,,,
Unit,OCU,,,,,
Product Number,1F67700-1,,,,,
Serial Number,34,,,,,
Date,20161018_1715,,,,,
Position,1,,,,,
Units in Chamber,*0034,,,,,
*Thermocouples are placed on this unit,,,,,,
Comments,,,,,,
,,,,,,
Timestamp,Hours since start,TC1(°C),TC2(°C),TC3(°C),TC4(°C),Air(°C)
15:53.4,0,24.894,24.007,35.651,35.754,21.73
16:13.4,0.005556,25.094842,24.288942,34.981002,34.943414,21.602747
16:33.4,0.011112,25.19821,24.439771,34.073003,33.920721,21.171838
16:53.4,0.016668,25.331028,24.558324,32.75191,32.403703,20.82389
17:13.4,0.022223,25.429641,24.621282,32.306961,31.79986,20.627951
17:33.4,0.027779,25.468304,24.572825,28.491397,28.188068,20.44136
17:53.4,0.033335,25.480123,24.644799,28.46954,28.134093,20.228052
18:13.4,0.03889,25.559813,24.70919,29.01558,28.97537,20.201409
18:33.4,0.044445,25.586755,24.744405,27.709703,27.719656,20.171994
18:53.4,0.050001,25.615011,24.777678,28.129647,27.870116,20.209099
19:13.4,0.055557,25.672427,24.82304,28.448932,28.659243,20.001724
19:33.4,0.061113,25.69795,24.866873,27.840301,28.115915,19.916879
19:53.4,0.066667,25.653128,24.830243,27.147344,27.518969,19.950885
20:13.4,0.072223,25.641224,24.853425,27.683548,28.315094,19.850005
20:33.4,0.077779,25.677687,24.963075,28.953516,30.027052,19.766624
20:53.4,0.083334,25.644411,24.921444,26.665386,26.933291,19.877818
21:13.4,0.08889,25.820718,25.098866,29.156109,30.241451,19.938691
21:33.4,0.094445,25.694378,25.067432,26.159051,26.585072,19.771659
21:53.4,0.1,25.662843,25.002528,23.507985,23.875623,19.810732
22:13.4,0.105555,25.682215,25.073068,24.236035,24.832362,19.749035
22:33.4,0.111111,25.687142,25.162181,26.165399,27.21362,19.709818
22:53.4,0.116666,25.618239,25.147806,25.557484,26.485374,19.809135
23:13.4,0.122222,25.555453,25.084529,23.532588,24.077843,19.778115
23:33.4,0.127778,25.561928,25.106257,23.682917,24.472546,19.731481
23:53.4,0.133334,25.536323,25.135248,23.994964,24.843539,19.888553
24:13.4,0.13889,25.455176,25.087107,22.819969,23.343513,19.971611
24:33.4,0.144444,25.273646,24.928761,21.227537,21.612589,19.938078
24:53.4,0.15,25.246012,24.914325,22.269852,23.096631,19.892599
25:13.4,0.155556,25.287559,25.017727,24.054881,25.251,19.969507
25:33.4,0.161111,25.357507,25.12103,25.28997,26.581555,19.947658
25:53.4,0.166667,25.256578,25.051031,23.394119,24.169537,19.942356
26:13.4,0.172222,25.132506,24.921127,21.078843,21.462879,19.863582
26:33.4,0.177778,25.079352,24.888531,20.844698,21.348632,19.975661
26:53.4,0.183334,25.013206,24.821582,21.088626,21.850547,19.833945
27:13.4,0.188889,25.033804,24.894786,23.683808,24.815396,19.95084
27:33.4,0.194444,25.063198,24.997302,24.415654,25.622485,19.909481
27:53.4,0.2,25.163095,25.076803,25.234794,26.532188,19.995292
28:13.4,0.205556,25.178204,25.0728,23.819268,24.883757,20.088161
28:33.4,0.211111,25.186996,25.126428,24.504005,25.469032,20.226695
28:53.4,0.216666,25.068469,25.017853,22.372949,22.950786,21.065499
29:13.4,0.222222,24.941623,24.889711,20.791739,21.029243,21.939443
29:33.4,0.227778,24.973301,24.944185,22.478334,23.374147,22.334335
29:53.4,0.233333,24.936024,24.848557,20.643372,21.356977,22.736239
30:13.4,0.238889,24.957313,24.976741,23.274024,24.212236,23.106614
30:33.4,0.244445,24.887355,24.88852,22.048762,22.840257,23.387579
30:53.4,0.250003,24.902052,24.874117,22.228768,23.172579,23.477735
