UNHOLTZ-DICKIE Corporation Random Controller data in ASCII format
Setup Name:OCU X AXIS ATP 4CH     Run Name:OCUXATPFORCELIMIT4CH4     Save Number:1
Saved Date:10/11/2016    Saved Time:10:0:33 AM
Total time:0:2:1    Auto time:0:0:0
Test Mode:none    Test Status:STOPPED
Test Level:-20.0dB
DOF:200
Sigma Drive Limit: NONE
Frequency Resolution:5.000 Hz
Reference Frequency Range: 20.000 Hz - 2000.000 Hz
Chan,Sensitivity ,Coupling, Max. Range,Description
  # ,    mV/g    , (AC/DC),   grms    
  1 ,   10.01   ,   AC   ,  100.00   ,CONTROL
  2 ,   10.07   ,   AC   ,  100.00   ,CONTROL
  3 ,   10.45   ,   AC   ,  100.00   ,SPECIMENT PROTECT
  4 ,   10.00   ,   AC   ,  200.00   ,INLINE SUMMED FORCE CHANNEL

  Pt,Frequency,  Reference  ,   Control   ,    Drive    ,     HInv    ,    Chan:1   ,    Chan:2   ,    Chan:3   ,    Chan:4   
    ,  (Hz)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (V²/Hz)  ,     (V/g)   ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  ,    (g²/Hz)  

   2,   5.0000,   0.00000000,   0.00141908,   0.00000000,   0.00000000,   0.00154271,   0.00129545,   0.00178597,   0.00296758
   3,  10.0000,   0.00000000,   0.00000467,   0.00000000,   0.00000000,   0.00000470,   0.00000463,   0.00000489,   0.00009113
   4,  15.0000,   0.00000000,   0.00007795,   0.00000000,   0.00000000,   0.00007852,   0.00007738,   0.00008127,   0.00151838
   5,  20.0000,   0.00040000,   0.00026950,   0.00000932,   0.20395593,   0.00027136,   0.00026765,   0.00028078,   0.00522971
   6,  25.0000,   0.00062000,   0.00038851,   0.00000417,   0.12611276,   0.00039101,   0.00038602,   0.00040505,   0.00774503
   7,  30.0000,   0.00091896,   0.00053188,   0.00000534,   0.10061827,   0.00053524,   0.00052852,   0.00055481,   0.01090687
   8,  35.0000,   0.00128173,   0.00073945,   0.00000565,   0.08770106,   0.00074419,   0.00073472,   0.00077181,   0.01506042
   9,  40.0000,   0.00170988,   0.00081827,   0.00000591,   0.07801315,   0.00082345,   0.00081309,   0.00085457,   0.01642093
  10,  45.0000,   0.00220482,   0.00117271,   0.00000620,   0.07206443,   0.00117988,   0.00116554,   0.00122521,   0.02373349
  11,  50.0000,   0.00276781,   0.00153869,   0.00000523,   0.06288641,   0.00154755,   0.00152983,   0.00160736,   0.03147238
  12,  55.0000,   0.00340000,   0.00199814,   0.00000769,   0.05795747,   0.00201021,   0.00198606,   0.00208818,   0.04064832
  13,  60.0000,   0.00340000,   0.00176933,   0.00000445,   0.05455821,   0.00178147,   0.00175719,   0.00185087,   0.03610885
  14,  65.0000,   0.00340000,   0.00212520,   0.00000550,   0.05149887,   0.00213905,   0.00211135,   0.00222291,   0.04408706
  15,  70.0000,   0.00340000,   0.00225123,   0.00000429,   0.04775968,   0.00226560,   0.00223685,   0.00235564,   0.04689052
  16,  75.0000,   0.00340000,   0.00196560,   0.00000314,   0.04113111,   0.00197904,   0.00195216,   0.00205861,   0.04059476
  17,  80.0000,   0.00255232,   0.00171675,   0.00000241,   0.03900657,   0.00172879,   0.00170471,   0.00179866,   0.03534783
  18,  85.0000,   0.00194959,   0.00149912,   0.00000199,   0.03900657,   0.00150731,   0.00149093,   0.00156756,   0.03113889
  19,  90.0000,   0.00151231,   0.00118633,   0.00000188,   0.03866665,   0.00119076,   0.00118189,   0.00123770,   0.02503833
  20,  95.0000,   0.00118933,   0.00103167,   0.00000163,   0.03883661,   0.00103722,   0.00102612,   0.00107855,   0.02213062
  21, 100.0000,   0.00094693,   0.00092409,   0.00000108,   0.03373771,   0.00093035,   0.00091783,   0.00096776,   0.02002688
  22, 105.0000,   0.00076237,   0.00071200,   0.00000075,   0.03186811,   0.00071702,   0.00070698,   0.00074694,   0.01512440
  23, 110.0000,   0.00062000,   0.00063525,   0.00000066,   0.03365273,   0.00063930,   0.00063120,   0.00066720,   0.01310779
  24, 115.0000,   0.00062000,   0.00065380,   0.00000071,   0.03382269,   0.00065704,   0.00065056,   0.00068677,   0.01348556
  25, 120.0000,   0.00062000,   0.00073140,   0.00000068,   0.03373771,   0.00073531,   0.00072750,   0.00076805,   0.01550290
  26, 125.0000,   0.00062000,   0.00070117,   0.00000066,   0.03322782,   0.00070554,   0.00069680,   0.00073585,   0.01528552
  27, 130.0000,   0.00062000,   0.00068778,   0.00000060,   0.03118826,   0.00069240,   0.00068316,   0.00072315,   0.01484540
  28, 135.0000,   0.00062000,   0.00065173,   0.00000069,   0.03305786,   0.00065632,   0.00064714,   0.00068547,   0.01411128
  29, 140.0000,   0.00062000,   0.00060547,   0.00000062,   0.03271794,   0.00060981,   0.00060112,   0.00063738,   0.01322850
  30, 145.0000,   0.00062000,   0.00060864,   0.00000062,   0.03144321,   0.00061305,   0.00060424,   0.00064155,   0.01348008
  31, 150.0000,   0.00062000,   0.00066948,   0.00000059,   0.02863882,   0.00067484,   0.00066412,   0.00070535,   0.01502730
  32, 155.0000,   0.00062000,   0.00059352,   0.00000055,   0.02948863,   0.00059851,   0.00058853,   0.00062528,   0.01349457
  33, 160.0000,   0.00062000,   0.00054642,   0.00000061,   0.03339778,   0.00055126,   0.00054158,   0.00057602,   0.01265816
  34, 165.0000,   0.00062000,   0.00064981,   0.00000065,   0.03331280,   0.00065584,   0.00064378,   0.00068567,   0.01529604
  35, 170.0000,   0.00062000,   0.00065206,   0.00000072,   0.03365273,   0.00065849,   0.00064563,   0.00068852,   0.01557379
  36, 175.0000,   0.00062000,   0.00073148,   0.00000065,   0.03025346,   0.00073917,   0.00072379,   0.00077299,   0.01773830
  37, 180.0000,   0.00062000,   0.00078974,   0.00000055,   0.02948863,   0.00079863,   0.00078085,   0.00083532,   0.01939561
  38, 185.0000,   0.00070720,   0.00069841,   0.00000069,   0.03229302,   0.00070598,   0.00069083,   0.00073851,   0.01726114
  39, 190.0000,   0.00080385,   0.00070361,   0.00000083,   0.03467251,   0.00071104,   0.00069619,   0.00074383,   0.01746674
  40, 195.0000,   0.00091066,   0.00067306,   0.00000077,   0.03373771,   0.00067987,   0.00066626,   0.00071102,   0.01678195
  41, 200.0000,   0.00102842,   0.00080022,   0.00000075,   0.03373771,   0.00080792,   0.00079252,   0.00084475,   0.02008369
  42, 205.0000,   0.00115792,   0.00079249,   0.00000094,   0.03373771,   0.00079960,   0.00078538,   0.00083584,   0.01999917
  43, 210.0000,   0.00130000,   0.00059831,   0.00000063,   0.03492746,   0.00060381,   0.00059281,   0.00063132,   0.01524819
  44, 215.0000,   0.00130000,   0.00059188,   0.00000079,   0.03399265,   0.00059771,   0.00058605,   0.00062519,   0.01531157
  45, 220.0000,   0.00130000,   0.00062910,   0.00000075,   0.03373771,   0.00063576,   0.00062244,   0.00066521,   0.01654698
  46, 225.0000,   0.00130000,   0.00060759,   0.00000065,   0.03365273,   0.00061437,   0.00060081,   0.00064275,   0.01630120
  47, 230.0000,   0.00130000,   0.00056684,   0.00000095,   0.03586225,   0.00057341,   0.00056027,   0.00059995,   0.01553424
  48, 235.0000,   0.00130000,   0.00055588,   0.00000059,   0.03407764,   0.00056241,   0.00054935,   0.00058855,   0.01556471
  49, 240.0000,   0.00130000,   0.00063000,   0.00000081,   0.03654211,   0.00063779,   0.00062221,   0.00066767,   0.01793844
  50, 245.0000,   0.00130000,   0.00057121,   0.00000081,   0.03654211,   0.00057861,   0.00056381,   0.00060600,   0.01647495
  51, 250.0000,   0.00130000,   0.00053536,   0.00000067,   0.03467251,   0.00054243,   0.00052830,   0.00056814,   0.01567117
  52, 255.0000,   0.00130000,   0.00052894,   0.00000068,   0.03645712,   0.00053624,   0.00052164,   0.00056178,   0.01573627
  53, 260.0000,   0.00130000,   0.00053097,   0.00000085,   0.03679705,   0.00053854,   0.00052340,   0.00056428,   0.01606016
  54, 265.0000,   0.00130000,   0.00050502,   0.00000083,   0.03756189,   0.00051247,   0.00049757,   0.00053712,   0.01556561
  55, 270.0000,   0.00130000,   0.00054019,   0.00000075,   0.03968643,   0.00054843,   0.00053196,   0.00057482,   0.01694147
  56, 275.0000,   0.00130000,   0.00049155,   0.00000087,   0.03858167,   0.00049931,   0.00048379,   0.00052338,   0.01572154
  57, 280.0000,   0.00130000,   0.00056482,   0.00000074,   0.04036628,   0.00057412,   0.00055552,   0.00060188,   0.01843605
  58, 285.0000,   0.00130000,   0.00059647,   0.00000105,   0.04274577,   0.00060669,   0.00058625,   0.00063611,   0.01990323
  59, 290.0000,   0.00130000,   0.00051291,   0.00000097,   0.04011133,   0.00052201,   0.00050381,   0.00054747,   0.01751431
  60, 295.0000,   0.00130000,   0.00042566,   0.00000058,   0.03943148,   0.00043344,   0.00041788,   0.00045464,   0.01492298
  61, 300.0000,   0.00130000,   0.00040427,   0.00000075,   0.03764687,   0.00041188,   0.00039666,   0.00043211,   0.01453974
  62, 305.0000,   0.00130000,   0.00036763,   0.00000060,   0.03790182,   0.00037483,   0.00036042,   0.00039319,   0.01355654
  63, 310.0000,   0.00130000,   0.00036561,   0.00000058,   0.03866665,   0.00037287,   0.00035835,   0.00039127,   0.01388686
  64, 315.0000,   0.00130000,   0.00045828,   0.00000101,   0.04164100,   0.00046768,   0.00044888,   0.00049093,   0.01790156
  65, 320.0000,   0.00130000,   0.00042476,   0.00000084,   0.04181097,   0.00043376,   0.00041576,   0.00045550,   0.01703926
  66, 325.0000,   0.00119778,   0.00032905,   0.00000055,   0.04138606,   0.00033620,   0.00032190,   0.00035312,   0.01356902
  67, 330.0000,   0.00110498,   0.00031839,   0.00000064,   0.04300071,   0.00032559,   0.00031119,   0.00034201,   0.01361316
  68, 335.0000,   0.00102061,   0.00036391,   0.00000070,   0.04606004,   0.00037245,   0.00035537,   0.00039130,   0.01608919
  69, 340.0000,   0.00094378,   0.00034026,   0.00000064,   0.04555016,   0.00034838,   0.00033214,   0.00036619,   0.01548410
  70, 345.0000,   0.00087374,   0.00030126,   0.00000050,   0.04453038,   0.00030870,   0.00029383,   0.00032447,   0.01421052
  71, 350.0000,   0.00080980,   0.00027809,   0.00000073,   0.04707983,   0.00028514,   0.00027104,   0.00029974,   0.01357395
  72, 355.0000,   0.00075134,   0.00027064,   0.00000042,   0.04758972,   0.00027790,   0.00026338,   0.00029229,   0.01372861
  73, 360.0000,   0.00069784,   0.00022865,   0.00000061,   0.04860951,   0.00023503,   0.00022226,   0.00024721,   0.01201674
  74, 365.0000,   0.00064880,   0.00018419,   0.00000048,   0.05030913,   0.00018936,   0.00017901,   0.00019925,   0.01010098
  75, 370.0000,   0.00060381,   0.00016505,   0.00000033,   0.04792964,   0.00016990,   0.00016020,   0.00017885,   0.00947553
  76, 375.0000,   0.00056248,   0.00016758,   0.00000042,   0.04928935,   0.00017269,   0.00016246,   0.00018183,   0.01007575
  77, 380.0000,   0.00052448,   0.00016764,   0.00000037,   0.04775968,   0.00017294,   0.00016235,   0.00018215,   0.01053205
  78, 385.0000,   0.00048948,   0.00013343,   0.00000031,   0.05030913,   0.00013779,   0.00012907,   0.00014514,   0.00876651
  79, 390.0000,   0.00045723,   0.00011593,   0.00000028,   0.05064906,   0.00011985,   0.00011201,   0.00012634,   0.00804460
  80, 395.0000,   0.00042748,   0.00012458,   0.00000035,   0.05251865,   0.00012893,   0.00012024,   0.00013602,   0.00907886
  81, 400.0000,   0.00040000,   0.00011783,   0.00000030,   0.05591791,   0.00012209,   0.00011357,   0.00012879,   0.00902280
  82, 405.0000,   0.00040000,   0.00010642,   0.00000028,   0.05183880,   0.00011037,   0.00010246,   0.00011649,   0.00854794
  83, 410.0000,   0.00040000,   0.00008858,   0.00000017,   0.04945931,   0.00009196,   0.00008520,   0.00009710,   0.00749673
  84, 415.0000,   0.00040000,   0.00009646,   0.00000020,   0.05132891,   0.00010046,   0.00009247,   0.00010609,   0.00860118
  85, 420.0000,   0.00040000,   0.00008472,   0.00000031,   0.05642781,   0.00008842,   0.00008102,   0.00009338,   0.00792348
  86, 425.0000,   0.00040000,   0.00007317,   0.00000027,   0.05744760,   0.00007635,   0.00006999,   0.00008070,   0.00723553
  87, 430.0000,   0.00040000,   0.00006531,   0.00000017,   0.05183880,   0.00006812,   0.00006249,   0.00007201,   0.00687606
  88, 435.0000,   0.00040000,   0.00006892,   0.00000018,   0.05438825,   0.00007201,   0.00006584,   0.00007610,   0.00773738
  89, 440.0000,   0.00040000,   0.00006720,   0.00000024,   0.05523807,   0.00007033,   0.00006406,   0.00007444,   0.00802351
  90, 445.0000,   0.00040000,   0.00005901,   0.00000016,   0.05268861,   0.00006188,   0.00005613,   0.00006552,   0.00750484
  91, 450.0000,   0.00040000,   0.00004616,   0.00000014,   0.05557799,   0.00004848,   0.00004384,   0.00005138,   0.00631684
  92, 455.0000,   0.00040000,   0.00004912,   0.00000016,   0.05727762,   0.00005166,   0.00004658,   0.00005480,   0.00731132
  93, 460.0000,   0.00040000,   0.00005352,   0.00000018,   0.05999704,   0.00005637,   0.00005068,   0.00005988,   0.00859474
  94, 465.0000,   0.00040000,   0.00004222,   0.00000016,   0.06407615,   0.00004453,   0.00003991,   0.00004731,   0.00740533
  95, 470.0000,   0.00040000,   0.00003830,   0.00000014,   0.06084685,   0.00004050,   0.00003610,   0.00004306,   0.00746387
  96, 475.0000,   0.00040000,   0.00004152,   0.00000011,   0.05829740,   0.00004410,   0.00003894,   0.00004696,   0.00899518
  97, 480.0000,   0.00040000,   0.00002927,   0.00000012,   0.06237653,   0.00003108,   0.00002747,   0.00003313,   0.00700999
  98, 485.0000,   0.00040000,   0.00002577,   0.00000009,   0.06271645,   0.00002731,   0.00002422,   0.00002920,   0.00705374
  99, 490.0000,   0.00040000,   0.00002077,   0.00000010,   0.06832524,   0.00002210,   0.00001944,   0.00002363,   0.00644630
 100, 495.0000,   0.00040000,   0.00002080,   0.00000011,   0.06934501,   0.00002223,   0.00001937,   0.00002378,   0.00745672
 101, 500.0000,   0.00040000,   0.00001845,   0.00000008,   0.06985491,   0.00001978,   0.00001711,   0.00002120,   0.00758131
 102, 505.0000,   0.00040000,   0.00001499,   0.00000009,   0.06951499,   0.00001614,   0.00001384,   0.00001733,   0.00724081
 103, 510.0000,   0.00040000,   0.00001265,   0.00000005,   0.07223439,   0.00001369,   0.00001161,   0.00001474,   0.00734271
 104, 515.0000,   0.00040000,   0.00001089,   0.00000005,   0.06815527,   0.00001186,   0.00000991,   0.00001283,   0.00775860
 105, 520.0000,   0.00040000,   0.00000961,   0.00000004,   0.06798531,   0.00001054,   0.00000868,   0.00001146,   0.00841352
 106, 525.0000,   0.00040000,   0.00000567,   0.00000003,   0.06883513,   0.00000627,   0.00000507,   0.00000685,   0.00629185
 107, 530.0000,   0.00040000,   0.00000378,   0.00000004,   0.08226223,   0.00000422,   0.00000334,   0.00000466,   0.00581221
 108, 535.0000,   0.00040000,   0.00000279,   0.00000002,   0.08532158,   0.00000315,   0.00000243,   0.00000351,   0.00588005
 109, 540.0000,   0.00040000,   0.00000189,   0.00000002,   0.09178018,   0.00000218,   0.00000161,   0.00000245,   0.00591829
 110, 545.0000,   0.00040000,   0.00000126,   0.00000001,   0.10129811,   0.00000149,   0.00000103,   0.00000170,   0.00642169
